iter	Passed	Remaining
0	1	99
1	3	148
2	4	134
3	4	114
4	5	106
5	6	102
6	7	99
7	8	96
8	9	94
9	10	92
10	11	90
11	12	88
12	13	87
13	13	85
14	14	84
15	15	83
16	18	88
17	19	86
18	20	85
19	20	83
20	21	82
21	22	80
22	23	79
23	24	77
24	25	76
25	26	75
26	27	73
27	28	72
28	29	71
29	29	69
30	30	68
31	32	68
32	33	68
33	34	66
34	35	65
35	36	64
36	37	63
37	38	62
38	38	60
39	39	59
40	40	58
41	41	56
42	41	55
43	42	54
44	43	53
45	44	52
46	45	51
47	46	50
48	47	49
49	48	48
50	49	47
51	50	46
52	51	45
53	52	44
54	53	43
55	54	42
56	55	41
57	55	40
58	56	39
59	57	38
60	58	37
61	59	36
62	62	36
63	63	35
64	64	34
65	65	33
66	66	32
67	67	31
68	68	30
69	69	29
70	70	28
71	71	27
72	71	26
73	72	25
74	73	24
75	74	23
76	77	23
77	78	22
78	79	21
79	79	19
80	80	18
81	81	17
82	82	16
83	83	15
84	84	14
85	85	13
86	86	12
87	87	11
88	88	10
89	89	9
90	92	9
91	93	8
92	93	7
93	94	6
94	95	5
95	96	4
96	97	3
97	98	2
98	99	1
99	100	0
